episode,clearing_price_last,cap_last,entropy_coef,shaping_weight,entropy_decay_triggered,active_agent,epsilon,reward_A1,green_frac_A1,delta_green_A1,penalty_A1,shortfall_A1,queue_size_A1,actor_loss_A1,critic_loss_A1,bid_price_A1,reward_A2,green_frac_A2,delta_green_A2,penalty_A2,shortfall_A2,queue_size_A2,actor_loss_A2,critic_loss_A2,bid_price_A2,reward_A3,green_frac_A3,delta_green_A3,penalty_A3,shortfall_A3,queue_size_A3,actor_loss_A3,critic_loss_A3,bid_price_A3,reward_A4,green_frac_A4,delta_green_A4,penalty_A4,shortfall_A4,queue_size_A4,actor_loss_A4,critic_loss_A4,bid_price_A4,reward_A5,green_frac_A5,delta_green_A5,penalty_A5,shortfall_A5,queue_size_A5,actor_loss_A5,critic_loss_A5,bid_price_A5,reward_A6,green_frac_A6,delta_green_A6,penalty_A6,shortfall_A6,queue_size_A6,actor_loss_A6,critic_loss_A6,bid_price_A6,reward_A7,green_frac_A7,delta_green_A7,penalty_A7,shortfall_A7,queue_size_A7,actor_loss_A7,critic_loss_A7,bid_price_A7,reward_A8,green_frac_A8,delta_green_A8,penalty_A8,shortfall_A8,queue_size_A8,actor_loss_A8,critic_loss_A8,bid_price_A8,secondary_volume,secondary_avg_price,secondary_match_rate,price_start,price_peak,price_std,mean_alloc_A1,mean_shock_A1,max_shock_A1,mean_cf_shock_A1,total_cancels_A1,total_holding_cost_A1,total_mac_reduction_A1,mean_alloc_A2,mean_shock_A2,max_shock_A2,mean_cf_shock_A2,total_cancels_A2,total_holding_cost_A2,total_mac_reduction_A2,mean_alloc_A3,mean_shock_A3,max_shock_A3,mean_cf_shock_A3,total_cancels_A3,total_holding_cost_A3,total_mac_reduction_A3,mean_alloc_A4,mean_shock_A4,max_shock_A4,mean_cf_shock_A4,total_cancels_A4,total_holding_cost_A4,total_mac_reduction_A4,mean_alloc_A5,mean_shock_A5,max_shock_A5,mean_cf_shock_A5,total_cancels_A5,total_holding_cost_A5,total_mac_reduction_A5,mean_alloc_A6,mean_shock_A6,max_shock_A6,mean_cf_shock_A6,total_cancels_A6,total_holding_cost_A6,total_mac_reduction_A6,mean_alloc_A7,mean_shock_A7,max_shock_A7,mean_cf_shock_A7,total_cancels_A7,total_holding_cost_A7,total_mac_reduction_A7,mean_alloc_A8,mean_shock_A8,max_shock_A8,mean_cf_shock_A8,total_cancels_A8,total_holding_cost_A8,total_mac_reduction_A8
10,60.0,20.5969860855,0.03,1.0,1,-1,0.2497,-2.915,0.2595,0.05946,0.0,0.0,5.75,0.02324,2.044249,83.13,-4.8091,0.3306,0.13058,879.92048,8.799205,3.25,0.043364,35.620319,83.94,-1.7989,0.4415,0.04146,0.0,0.0,3.0,0.064745,0.96855,98.14,-0.6876,0.5855,0.18553,21.935122,0.219351,2.5,-0.002846,5.042933,81.64,-0.4572,0.8009,0.10085,0.0,0.0,3.25,-0.039153,1.832068,69.48,-0.7967,0.7966,0.0966,0.0,0.0,4.0,-0.201908,4.028849,81.47,0.356,1.0,0.1,0.0,0.0,2.75,-0.052616,9.088426,69.82,0.8316,1.0,0.1,0.0,0.0,0.75,0.236012,4.33639,89.16,14.1015,55.93,1.0,60.0,60.0,0.0,3.5233,0.0,0.0,0.0,0,4.0044,0.0,3.3557,0.0,0.0,0.0,0,0.0,0.0,4.1624,0.0,0.0,0.0,0,58.82,0.0,1.97,0.0,0.0,0.0,0,0.0,0.0,1.5393,0.0,0.0,0.0,0,0.9887,0.0,1.7679,0.0,0.0,0.0,0,3.8806,0.0,0.268,0.0,0.0,0.0,0,186.8517,0.0,0.3765,0.0,0.0,0.0,0,1.2995,0.0
11,60.0,20.5969860855,0.03,1.0,1,-1,0.2497,-3.0967,0.2403,0.04027,216.783746,2.167837,2.75,0.0,0.0,68.16,-1.7952,0.2742,0.0742,0.0,0.0,2.75,0.0,0.0,80.91,-1.2076,0.5646,0.16456,0.0,0.0,4.25,0.007288,1.040736,84.38,-1.0927,0.4563,0.05629,0.0,0.0,3.25,0.0,0.0,64.88,-0.6098,0.8578,0.15784,84.313092,0.843131,3.0,-0.102952,2.379168,82.6,-0.5487,0.814,0.11401,0.0,0.0,3.5,-0.024452,1.547492,84.44,0.2616,0.9816,0.08163,0.0,0.0,2.0,-0.003388,2.281805,64.17,0.5442,0.9769,0.07687,0.0,0.0,3.0,0.0,0.0,81.62,8.6489,64.9,1.0,60.0,60.0,0.0,4.2085,0.0,0.0,0.0,0,0.0,0.0,4.494,0.0,0.0,0.0,0,13.2337,0.0,2.8138,0.0,0.0,0.0,0,9.0302,0.0,3.0539,0.0,0.0,0.0,0,2.22,0.0,0.6306,0.0,0.0,0.0,0,0.0,0.0,1.0773,0.0,0.0,0.0,0,0.8797,0.0,0.4584,0.0,0.0,0.0,0,36.1662,0.0,0.4174,0.0,0.0,0.0,0,7.9542,0.0
12,60.0,20.5969860855,0.03,1.0,1,-1,0.2497,-2.2287,0.2533,0.05331,22.288013,0.22288,4.0,-0.009224,0.065979,79.67,-1.8557,0.2876,0.08757,0.0,0.0,3.75,0.146043,0.739537,87.41,-1.6631,0.4405,0.04049,0.0,0.0,3.25,-0.102497,1.366846,66.88,-1.4273,0.5101,0.11007,169.725833,1.697258,3.0,-0.169024,0.528176,73.08,-1.2579,0.8043,0.10433,0.0,0.0,3.25,0.104591,0.751276,74.21,0.0338,0.8002,0.10025,0.0,0.0,3.0,-0.01805,0.328012,72.23,0.8071,0.9784,0.07837,0.0,0.0,1.75,0.0,0.0,85.12,0.4286,0.9287,0.02865,0.0,0.0,3.75,-0.081988,0.15521,65.19,8.7758,63.68,1.0,60.0,60.0,0.0,4.5337,0.0,0.0,0.0,0,0.0,0.0,3.7834,0.0,0.0,0.0,0,0.0,0.0,3.6629,0.0,0.0,0.0,0,7.9859,0.0,2.5854,0.0,0.0,0.0,0,0.0,0.0,1.8801,0.0,0.0,0.0,0,66.1533,0.0,0.8299,0.0,0.0,0.0,0,1.1031,0.0,0.4919,0.0,0.0,0.0,0,0.0,0.0,0.6499,0.0,0.0,0.0,0,0.0,0.0
13,60.0,20.5969860855,0.03,1.0,1,-1,0.2496,-2.0885,0.3161,0.11608,33.279989,0.3328,3.0,-0.019388,1.64811,77.39,-0.9108,0.3583,0.15827,0.0,0.0,2.0,0.0,0.0,86.09,-1.3254,0.4878,0.08782,0.0,0.0,3.75,0.090283,4.544329,79.81,-0.6859,0.5137,0.11371,0.0,0.0,2.25,0.004265,3.4861,71.52,-1.0243,0.7965,0.09651,0.0,0.0,3.0,-0.023222,2.038432,81.71,-0.0246,0.7903,0.09029,0.0,0.0,1.0,0.0,0.0,98.69,0.289,0.9745,0.07449,5.083321,0.050833,3.0,-0.097819,1.360118,70.99,0.7211,0.952,0.05196,0.0,0.0,3.0,-0.024562,0.59708,73.46,11.3588,67.35,1.0,71.75,71.75,5.09,3.3131,0.0,0.0,0.0,0,0.0,0.66,4.372,0.0,0.0,0.0,0,0.0,0.66,3.0943,0.0,0.0,0.0,0,11.4335,0.495,2.4738,0.0,0.0,0.0,0,23.2916,0.4069,1.8276,0.0,0.0,0.0,0,46.2212,0.165,1.9058,0.0,0.0,0.0,0,13.4947,0.165,0.3361,0.0,0.0,0.0,0,0.0,0.0,0.352,0.0,0.0,0.0,0,0.1553,0.0
14,60.0,20.5969860855,0.03,1.0,1,-1,0.2496,-3.0036,0.2455,0.04549,0.0,0.0,3.75,0.0,0.0,108.87,-2.8744,0.237,0.03702,0.0,0.0,1.5,0.16134,2.127775,89.41,0.0488,0.541,0.14099,0.0,0.0,1.75,0.0,0.0,75.42,-0.2665,0.4787,0.07875,0.0,0.0,3.75,-0.155903,4.006072,87.79,-2.2775,0.7447,0.04473,217.237136,2.172371,1.25,0.208974,8.837089,60.72,-0.2197,0.814,0.11404,0.0,0.0,4.5,-0.135326,0.565592,75.4,-0.0271,1.0,0.1,0.070361,0.000704,3.0,0.0,0.0,64.17,0.2391,0.9398,0.0398,0.0,0.0,1.25,-0.019517,1.400739,88.92,11.6731,64.44,0.75,73.61,73.61,5.6,4.3116,0.0,0.0,0.0,0,13.2035,0.66,3.8542,0.0,0.0,0.0,0,0.0,0.66,2.7196,0.0,0.0,0.0,0,0.7742,0.3614,3.3726,0.0,0.0,0.0,0,0.4635,0.4125,1.0081,0.0,0.0,0.0,0,0.2737,0.165,0.9569,0.0,0.0,0.0,0,13.6936,0.0967,0.1026,0.0,0.0,0.0,0,29.4686,0.0,0.5386,0.0,0.0,0.0,0,29.2051,0.0
15,60.0,20.5969860855,0.03,1.0,1,-1,0.2496,-0.9966,0.4019,0.2019,0.0,0.0,4.25,-0.019998,6.234759,83.73,-2.3272,0.3258,0.12584,0.0,0.0,3.75,0.0,0.0,90.51,-1.2253,0.4264,0.02638,0.0,0.0,2.75,-0.015143,0.355027,78.24,-0.549,0.4562,0.05619,0.0,0.0,2.5,-0.042849,1.738581,76.91,-0.4023,0.7807,0.0807,0.0,0.0,2.0,0.009405,0.722144,77.93,-0.8002,0.7317,0.03167,0.0,0.0,2.25,-0.001186,2.925721,86.14,-0.6738,0.9415,0.04154,0.0,0.0,3.25,0.053896,0.730919,85.73,-0.2255,0.95,0.05,9.386532,0.093865,2.0,0.0,0.0,67.88,10.0969,62.83,1.0,60.0,60.0,0.0,4.1913,0.0,0.0,0.0,0,13.792,0.0,4.47,0.0,0.0,0.0,0,0.0,0.0,3.4048,0.0,0.0,0.0,0,4.2292,0.0,2.3507,0.0,0.0,0.0,0,0.2259,0.0,0.958,0.0,0.0,0.0,0,0.271,0.0,1.4445,0.0,0.0,0.0,0,0.3378,0.0,0.6531,0.0,0.0,0.0,0,0.0911,0.0,0.4075,0.0,0.0,0.0,0,0.0,0.0
16,60.0,20.5969860855,0.03,1.0,1,-1,0.2495,-4.1201,0.2573,0.0573,223.257967,2.23258,2.0,0.003441,30.475792,86.06,-2.8049,0.2986,0.09862,0.0,0.0,5.25,-0.010856,0.765776,62.11,-1.2875,0.4642,0.06422,0.0,0.0,3.0,0.072719,0.726932,60.0,-2.3667,0.4685,0.06851,0.0,0.0,2.5,0.022678,8.992775,73.16,-0.0822,0.8252,0.12519,0.0,0.0,2.75,0.044631,2.700767,79.85,-0.0206,0.8431,0.14308,0.0,0.0,4.75,-0.057864,3.002901,71.38,0.638,1.0,0.1,0.0,0.0,2.0,-0.03599,3.9935,87.43,-0.9537,0.928,0.02795,40.453769,0.404538,3.0,0.0,0.0,80.4,7.3772,57.09,1.0,60.0,60.0,0.0,3.7806,0.0,0.0,0.0,0,0.0,0.0,4.4167,0.0,0.0,0.0,0,1.1087,0.0,2.9908,0.0,0.0,0.0,0,0.3038,0.0,3.1605,0.0,0.0,0.0,0,0.9128,0.0,1.2193,0.0,0.0,0.0,0,28.8072,0.0,1.8331,0.0,0.0,0.0,0,2.7809,0.0,0.4896,0.0,0.0,0.0,0,0.3489,0.0,0.7238,0.0,0.0,0.0,0,0.0,0.0
17,60.0,20.5969860855,0.03,1.0,1,-1,0.2495,-2.2816,0.3079,0.10786,0.0,0.0,3.0,-0.079002,1.270123,90.39,-3.5461,0.2373,0.03731,272.067085,2.720671,2.0,0.0,0.0,86.22,0.3105,0.6004,0.20037,0.0,0.0,2.75,0.003304,15.81602,72.17,-1.9827,0.4705,0.07051,0.0,0.0,3.75,-0.036211,4.873646,98.46,-0.6317,0.804,0.10398,0.0,0.0,2.25,0.0,0.0,80.78,-0.1534,0.7711,0.07106,32.139155,0.321392,4.0,0.012624,0.051212,72.37,0.2611,0.95,0.05,0.0,0.0,1.75,-0.009715,0.653918,73.44,0.4531,0.9942,0.09415,0.0,0.0,2.5,0.0,0.0,80.31,13.2858,67.03,1.0,60.0,60.0,0.0,4.8131,0.0,0.0,0.0,0,10.0546,0.0,3.2797,0.0,0.0,0.0,0,0.0,0.0,2.7712,0.0,0.0,0.0,0,0.0,0.0,3.8318,0.0,0.0,0.0,0,13.054,0.0,1.5783,0.0,0.0,0.0,0,0.7882,0.0,1.282,0.0,0.0,0.0,0,0.0,0.0,0.5705,0.0,0.0,0.0,0,0.0,0.0,0.2328,0.0,0.0,0.0,0,9.2585,0.0
18,60.0,20.5969860855,0.03,1.0,1,-1,0.2495,-0.7648,0.3274,0.12739,0.0,0.0,2.5,-0.001249,7.678468,69.52,-1.5284,0.3279,0.12785,0.0,0.0,3.75,0.0,0.0,82.77,-1.1205,0.4504,0.05042,0.0,0.0,2.25,-0.031723,1.401624,95.81,-1.7296,0.5558,0.15584,0.0,0.0,4.5,0.0,0.0,78.13,-0.8139,0.8816,0.18159,0.0,0.0,4.0,-0.075532,0.109596,75.08,-1.1357,0.713,0.01295,0.0,0.0,3.5,0.0,0.0,66.33,-2.1132,1.0,0.1,172.920996,1.72921,1.5,0.104655,16.186946,75.45,-0.5562,0.9447,0.04473,45.725469,0.457255,2.25,-0.085883,12.18059,67.54,13.1399,58.37,1.0,60.0,60.0,0.0,3.6107,0.0,0.0,0.0,0,1.8062,0.0,4.0101,0.0,0.0,0.0,0,0.8515,0.0,3.9268,0.0,0.0,0.0,0,0.0367,0.0,2.6699,0.0,0.0,0.0,0,8.5405,0.0,1.4633,0.0,0.0,0.0,0,10.4655,0.0,1.0907,0.0,0.0,0.0,0,0.0,0.0,0.1616,0.0,0.0,0.0,0,0.0,0.0,0.2283,0.0,0.0,0.0,0,0.4197,0.0
19,60.0,20.5969860855,0.03,1.0,1,-1,0.2495,-1.7234,0.2818,0.08176,0.0,0.0,2.5,-0.005907,0.848807,89.32,-1.9922,0.3664,0.1664,0.0,0.0,4.25,-0.07163,1.896804,85.86,-0.4467,0.5154,0.11543,0.0,0.0,3.0,-0.201131,2.129339,62.01,-1.4864,0.455,0.05499,0.0,0.0,3.0,0.0,0.0,60.0,-0.9562,0.7949,0.09486,0.0,0.0,4.0,0.0,0.0,81.23,-0.3171,0.8412,0.14115,0.0,0.0,1.75,0.0,0.0,79.79,-0.4561,0.9902,0.09017,0.0,0.0,2.0,0.059944,1.117793,90.57,0.6391,1.0,0.1,0.0,0.0,2.5,-0.011215,2.294356,88.46,6.5461,68.58,1.0,60.0,60.0,0.0,4.7174,0.0,0.0,0.0,0,1.5097,0.0,3.9171,0.0,0.0,0.0,0,0.0154,0.0,3.2391,0.0,0.0,0.0,0,0.0,0.0,3.3243,0.0,0.0,0.0,0,0.8476,0.0,1.599,0.0,0.0,0.0,0,0.0,0.0,1.0653,0.0,0.0,0.0,0,0.0248,0.0,0.439,0.0,0.0,0.0,0,291.2484,0.0,0.437,0.0,0.0,0.0,0,4.9118,0.0
20,60.0,20.5969860855,0.03,1.0,1,-1,0.2494,-3.3433,0.2914,0.09144,387.875259,3.878753,3.0,-0.100912,9.954705,60.84,-1.7891,0.2837,0.08375,0.0,0.0,3.5,0.0,0.0,92.3,0.0758,0.538,0.13804,0.0,0.0,4.25,0.101029,2.923691,69.77,-1.7891,0.54,0.13997,0.0,0.0,3.0,-0.070798,0.856444,79.2,-0.7002,0.7552,0.05515,0.0,0.0,3.0,0.0,0.0,77.02,-0.4309,0.7993,0.09935,0.0,0.0,3.25,0.0,0.0,87.28,0.3488,0.9775,0.07748,0.0,0.0,1.75,0.148503,0.725406,72.16,0.2378,1.0,0.1,0.0,0.0,2.75,-0.008196,0.133704,73.31,9.6139,61.75,1.0,60.0,60.0,0.0,3.7032,0.0,0.0,0.0,0,0.0,0.0,3.6037,0.0,0.0,0.0,0,0.3563,0.0,3.1089,0.0,0.0,0.0,0,4.1451,0.0,2.9818,0.0,0.0,0.0,0,8.7808,0.0,1.6921,0.0,0.0,0.0,0,0.0,0.0,2.1115,0.0,0.0,0.0,0,113.1748,0.0,0.221,0.0,0.0,0.0,0,0.0088,0.0,0.5944,0.0,0.0,0.0,0,0.0,0.0
21,60.0,20.5969860855,0.03,1.0,1,-1,0.2494,-1.7659,0.3713,0.17125,0.0,0.0,2.5,-0.01403,0.484958,75.51,-1.6175,0.3758,0.17581,0.0,0.0,2.0,0.0,0.0,87.45,-2.4532,0.4795,0.07948,40.032177,0.400322,2.0,0.0,0.0,73.77,-0.0946,0.4857,0.08575,0.0,0.0,2.0,0.0,0.0,81.07,0.2142,0.7431,0.04306,0.0,0.0,1.0,-0.114846,2.700369,83.23,-0.1744,0.8057,0.10565,0.0,0.0,2.0,-0.064347,0.240425,94.2,-1.3258,1.0,0.1,109.99646,1.099965,2.5,0.015937,7.991253,73.16,0.4304,1.0,0.1,0.0,0.0,2.0,0.11002,0.588689,85.18,10.3407,60.98,1.0,60.0,60.0,0.0,4.5524,0.0,0.0,0.0,0,35.7789,0.0,4.275,0.0,0.0,0.0,0,0.6109,0.0,2.7497,0.0,0.0,0.0,0,0.0,0.0,2.9303,0.0,0.0,0.0,0,0.0,0.0,1.0743,0.0,0.0,0.0,0,0.9778,0.0,1.8604,0.0,0.0,0.0,0,31.3221,0.0,0.3445,0.0,0.0,0.0,0,0.0,0.0,0.4229,0.0,0.0,0.0,0,4.7624,0.0
22,60.0,20.5969860855,0.03,1.0,1,-1,0.2494,-1.8532,0.2292,0.02923,0.0,0.0,1.5,-0.231994,0.473443,75.57,-2.1201,0.2476,0.04759,0.0,0.0,4.5,-0.003157,0.339515,92.36,0.0923,0.5254,0.12542,0.0,0.0,3.0,0.067205,4.549539,78.84,-0.7123,0.4304,0.0304,1.838762,0.018388,1.0,-0.166709,0.425042,68.9,-0.2718,0.8627,0.16268,0.0,0.0,3.25,0.0,0.0,66.17,0.2696,0.7685,0.06852,0.0,0.0,2.5,0.0,0.0,72.08,-0.308,0.9298,0.0298,0.0,0.0,3.75,0.0,0.0,104.62,0.5133,0.9497,0.04967,5.110961,0.05111,2.0,-0.010972,0.036468,87.25,6.6226,61.49,0.75,60.0,60.0,0.0,4.0945,0.0,0.0,0.0,0,4.6106,0.0,3.9762,0.0,0.0,0.0,0,0.212,0.0,2.4509,0.0,0.0,0.0,0,0.1953,0.0,2.2676,0.0,0.0,0.0,0,0.0,0.0,0.7887,0.0,0.0,0.0,0,2.1535,0.0,1.997,0.0,0.0,0.0,0,10.3027,0.0,0.6679,0.0,0.0,0.0,0,0.1143,0.0,0.6862,0.0,0.0,0.0,0,0.0,0.0
23,60.0,20.5969860855,0.03,1.0,1,-1,0.2493,-1.8156,0.233,0.03299,0.0,0.0,2.25,0.031972,0.61333,66.61,-2.1788,0.2337,0.03373,0.0,0.0,1.0,0.001963,0.251797,89.05,-1.6313,0.5833,0.18325,90.46426,0.904643,2.25,0.05453,7.594935,73.35,-1.1401,0.5318,0.13178,0.0,0.0,5.5,-0.273574,0.58904,63.51,0.164,0.8026,0.1026,0.0,0.0,3.75,-0.309438,2.487195,69.43,-0.3915,0.8443,0.14429,0.0,0.0,3.25,-0.017824,1.008558,71.84,0.3355,0.9754,0.07545,0.0,0.0,2.75,0.0,0.0,74.94,0.6562,0.9781,0.07815,0.0,0.0,1.5,-0.13837,0.677608,60.0,15.3985,60.53,1.0,60.0,60.0,0.0,3.8766,0.0,0.0,0.0,0,0.2652,0.0,4.022,0.0,0.0,0.0,0,1.0539,0.0,3.1502,0.0,0.0,0.0,0,0.5285,0.0,3.6334,0.0,0.0,0.0,0,2.5042,0.0,1.3148,0.0,0.0,0.0,0,14.4836,0.0,1.1278,0.0,0.0,0.0,0,0.0043,0.0,0.3619,0.0,0.0,0.0,0,33.1096,0.0,0.7201,0.0,0.0,0.0,0,3.8382,0.0
24,60.0,20.5969860855,0.03,1.0,1,-1,0.2493,-1.39,0.2912,0.09118,0.0,0.0,3.5,0.020538,1.801957,81.39,-1.2619,0.2621,0.0621,0.0,0.0,1.5,-0.003582,4.252465,66.04,-0.857,0.488,0.08799,0.0,0.0,3.5,0.0,0.0,83.4,-0.3013,0.5027,0.10267,0.0,0.0,2.25,0.0,0.0,93.28,-0.6169,0.8325,0.13253,0.0,0.0,3.75,-0.013565,0.89575,65.45,-1.2244,0.7989,0.09886,0.0,0.0,2.75,0.0,0.0,76.71,-0.4029,0.9247,0.0247,2.107933,0.021079,2.5,0.0,0.0,88.61,-0.0532,1.0,0.1,0.0,0.0,3.5,0.0,0.0,79.01,6.2493,61.0,1.0,60.0,60.0,0.0,4.2411,0.0,0.0,0.0,0,0.3073,0.0,3.2324,0.0,0.0,0.0,0,0.0,0.0,2.3876,0.0,0.0,0.0,0,0.0,0.0,3.5335,0.0,0.0,0.0,0,17.3038,0.0,1.0019,0.0,0.0,0.0,0,2.3353,0.0,2.116,0.0,0.0,0.0,0,22.0983,0.0,0.6615,0.0,0.0,0.0,0,0.0,0.0,0.4164,0.0,0.0,0.0,0,328.6039,0.0
25,60.0,20.5969860855,0.03,1.0,1,-1,0.2493,-1.571,0.3333,0.13331,0.0,0.0,1.75,-0.046156,0.740876,82.7,-1.8605,0.2946,0.09462,0.0,0.0,3.5,-0.316773,1.029502,82.13,-0.0104,0.6213,0.22125,0.0,0.0,3.5,0.0,0.0,75.46,-4.3888,0.5368,0.1368,784.044266,7.840443,2.75,0.0,0.0,72.51,-0.7965,0.8,0.1,0.0,0.0,2.25,0.311539,0.479666,78.69,-0.2407,0.8441,0.14413,0.0,0.0,2.0,-0.111948,1.532921,69.06,-0.1323,1.0,0.1,0.0,0.0,2.0,-0.339992,0.172367,76.15,-0.8307,0.95,0.05,0.0,0.0,4.0,0.0,0.0,68.21,10.2013,65.52,1.0,60.0,60.0,0.0,4.4941,0.0,0.0,0.0,0,7.9168,0.0,4.4941,0.0,0.0,0.0,0,0.2671,0.0,2.6104,0.0,0.0,0.0,0,0.1725,0.0,1.6093,0.0,0.0,0.0,0,0.0,0.0,1.6255,0.0,0.0,0.0,0,1.9368,0.0,1.7249,0.0,0.0,0.0,0,17.4557,0.0,0.3654,0.0,0.0,0.0,0,294.34,0.0,0.6601,0.0,0.0,0.0,0,0.0001,0.0
26,60.0,20.5969860855,0.03,1.0,1,-1,0.2493,-2.1741,0.2349,0.03491,26.087932,0.260879,2.25,0.135943,2.292753,75.23,-2.4881,0.2303,0.03033,0.0,0.0,3.25,0.187596,1.278728,105.9,-0.5116,0.5561,0.15611,0.0,0.0,1.75,-0.009648,0.238809,69.32,-1.3373,0.5434,0.14337,0.0,0.0,2.5,0.0,0.0,89.86,-0.8286,0.7389,0.03894,0.0,0.0,1.5,0.014506,4.405137,76.97,-0.2987,0.8232,0.12321,0.0,0.0,2.0,-0.051607,0.202096,91.45,-0.3125,1.0,0.1,0.0,0.0,1.25,0.0,0.0,94.62,-0.789,0.9742,0.07419,67.107804,0.671078,2.75,0.061136,15.874937,85.62,11.8946,73.12,1.0,60.0,73.06,5.65,2.9919,0.0,0.0,0.0,0,0.0,0.66,4.4698,0.0,0.0,0.0,0,10.1731,0.66,1.9071,0.0,0.0,0.0,0,0.0,0.2601,3.8387,0.0,0.0,0.0,0,20.6597,0.4311,1.8649,0.0,0.0,0.0,0,0.0,0.0608,1.7944,0.0,0.0,0.0,0,0.0,0.1079,0.3554,0.0,0.0,0.0,0,862.0764,0.0,0.296,0.0,0.0,0.0,0,0.0,0.0
27,60.0,20.5969860855,0.03,1.0,1,-1,0.2492,-2.1209,0.2593,0.05928,285.537186,2.855372,2.5,-0.039851,7.020422,69.02,-1.5914,0.2687,0.06867,0.0,0.0,2.0,-0.244785,0.828288,92.01,-1.0527,0.5044,0.10436,0.0,0.0,2.5,0.090617,4.230792,74.96,-1.0014,0.5453,0.14526,0.0,0.0,2.5,-0.06548,0.73959,70.96,-1.1403,0.7289,0.02887,0.0,0.0,4.75,0.197725,3.648344,69.27,0.4293,0.7517,0.05167,0.0,0.0,3.25,-0.043851,3.072928,91.12,-0.5332,0.95,0.05,0.0,0.0,2.75,0.297333,0.36865,83.65,-0.1569,0.95,0.05,6.911309,0.069113,2.75,0.026815,1.984867,89.37,11.9844,66.35,1.0,60.0,60.0,0.0,2.3072,0.0,0.0,0.0,0,0.5092,0.0,4.4244,0.0,0.0,0.0,0,2.2052,0.0,2.7941,0.0,0.0,0.0,0,38.5258,0.0,3.1306,0.0,0.0,0.0,0,0.1869,0.0,1.6836,0.0,0.0,0.0,0,0.4488,0.0,1.6677,0.0,0.0,0.0,0,0.0,0.0,0.4061,0.0,0.0,0.0,0,26.5639,0.0,0.6375,0.0,0.0,0.0,0,0.0,0.0
28,75.54729461669922,20.5969860855,0.03,1.0,1,-1,0.2492,-2.6443,0.3242,0.12421,0.0,0.0,3.5,0.0,0.0,79.41,-1.3658,0.3613,0.16126,0.0,0.0,2.75,0.19903,1.560465,88.79,-0.9847,0.4643,0.06429,0.0,0.0,5.0,-0.015892,1.234935,77.86,-3.0022,0.5059,0.10587,499.359193,4.993592,2.75,-0.027779,14.801843,73.81,-1.0223,0.7163,0.01634,145.010129,1.450101,1.25,0.156752,5.952356,69.69,-0.1753,0.7672,0.06717,0.0,0.0,3.75,-0.009879,0.672677,86.43,-0.6901,0.9874,0.08736,64.997205,0.649972,3.25,-0.010011,2.380157,74.29,0.7834,0.9642,0.06424,0.0,0.0,2.5,0.0,0.0,69.54,13.4945,71.85,1.0,60.0,75.55,6.73,4.2514,0.0,0.0,0.0,0,65.7893,0.66,4.2514,0.0,0.0,0.0,0,39.7952,0.66,2.8151,0.0,0.0,0.0,0,0.0,0.2829,2.3601,0.0,0.0,0.0,0,0.0,0.1456,1.0926,0.0,0.0,0.0,0,0.0,0.1111,1.5376,0.0,0.0,0.0,0,2.4019,0.0,0.3301,0.0,0.0,0.0,0,0.0,0.0,0.3672,0.0,0.0,0.0,0,0.2689,0.0
29,60.0,20.5969860855,0.03,1.0,1,-1,0.2492,-5.6901,0.2975,0.09748,1024.70929,10.247093,1.75,0.0,0.0,83.12,-2.0248,0.3637,0.16365,0.0,0.0,3.25,0.009139,1.585633,95.22,-1.2179,0.4518,0.05185,0.0,0.0,2.5,0.0,0.0,76.83,-0.4625,0.4777,0.07771,0.0,0.0,1.75,0.0,0.0,83.06,-0.7218,0.8463,0.14635,0.0,0.0,3.75,-0.117108,0.154858,93.84,0.6526,0.7771,0.07706,0.0,0.0,1.0,-0.017818,3.269128,61.55,-0.4012,0.9724,0.07239,0.0,0.0,4.0,0.114766,0.291201,82.25,0.7681,0.9706,0.0706,0.0,0.0,2.0,0.0,0.0,76.7,9.8542,68.22,1.0,60.0,60.0,0.0,2.9836,0.0,0.0,0.0,0,0.0,0.0,4.7431,0.0,0.0,0.0,0,0.0422,0.0,3.5079,0.0,0.0,0.0,0,2.9927,0.0,3.0849,0.0,0.0,0.0,0,0.7357,0.0,1.6906,0.0,0.0,0.0,0,10.12,0.0,1.4575,0.0,0.0,0.0,0,2.767,0.0,0.4813,0.0,0.0,0.0,0,31.742,0.0,0.663,0.0,0.0,0.0,0,46.7366,0.0
