episode,clearing_price_last,cap_last,reward_A1,green_frac_A1,penalty_A1,actor_loss_A1,critic_loss_A1,reward_A2,green_frac_A2,penalty_A2,actor_loss_A2,critic_loss_A2,reward_A3,green_frac_A3,penalty_A3,actor_loss_A3,critic_loss_A3,reward_A4,green_frac_A4,penalty_A4,actor_loss_A4,critic_loss_A4,reward_A5,green_frac_A5,penalty_A5,actor_loss_A5,critic_loss_A5,secondary_volume,secondary_avg_price
18,183.62554931640625,5.452072437987189,-16.9022,0.2568,1807.178648,0.006094,66.854969,-9.7089,0.3614,1908.195375,-0.002376,13.255237,-5.3816,0.494,792.893331,-0.020789,3.381192,-15.2173,0.6248,887.681642,0.001435,53.856563,-18.5149,0.7901,185.0,-0.000992,76.029655,4.4936,66.74
19,153.93289184570312,5.452072437987189,-11.3686,0.2098,1768.757619,-0.001261,13.345581,-9.7299,0.3599,1354.086101,-0.001737,13.537506,-5.2381,0.5107,552.312548,0.001754,2.544207,-5.1853,0.6535,725.11411,-0.004323,2.712639,-6.2154,0.7767,68.656054,-0.005348,7.802648,11.1756,120.33
20,64.85649108886719,5.452072437987189,-13.6197,0.2093,835.342457,-0.004347,13.283458,-11.1094,0.3127,1089.396398,-0.001257,18.517133,-11.3256,0.5091,1167.951421,-0.00045,12.959462,-7.0601,0.6494,768.786891,-0.001652,6.657961,-10.9908,0.8008,193.513838,-0.00108,16.217929,12.6986,110.21
21,195.25912475585938,5.452072437987189,-8.903,0.2376,1829.611146,-0.007907,7.610416,-10.0335,0.3366,1783.17642,-0.005982,10.597332,-20.4804,0.5049,728.830674,-0.002017,106.336908,-10.6888,0.6333,743.381343,-0.003492,8.116583,-12.7566,0.7811,0.0,-0.002151,18.056609,13.6841,171.54
22,172.63412475585938,5.452072437987189,-16.4279,0.228,1836.624742,-0.005157,19.076632,-15.0429,0.3883,1989.788042,-0.000975,33.015361,-19.0539,0.511,470.43457,-0.00077,84.026728,-7.9711,0.6549,148.0,-0.002239,8.695852,-6.4325,0.7753,185.0,-0.003625,5.644552,14.0099,120.42
23,137.94699096679688,5.452072437987189,-9.895,0.2376,1486.627487,-0.00381,11.236906,-13.4288,0.3173,1145.302578,-0.001409,28.540628,-5.6797,0.5221,850.45025,-0.009664,2.685498,-9.9711,0.6302,562.466562,-0.002612,15.277093,-7.9401,0.7957,92.5,-0.002047,8.954846,7.7778,132.81
24,51.7408447265625,5.452072437987189,-13.4147,0.2012,850.206363,-0.007714,16.978436,-8.5153,0.3716,1606.580182,-0.00703,7.960274,-5.8897,0.4847,1784.587368,0.000585,3.965712,-7.2914,0.6598,372.538847,-0.004042,7.728841,-8.6879,0.7841,0.0,-0.00932,9.275489,8.6787,151.93
25,159.21986389160156,5.452072437987189,-35.9104,0.2002,908.874407,0.010208,285.688797,-15.2493,0.3535,1382.96508,0.00071,25.484348,-11.7285,0.5115,826.91302,-0.002877,11.904607,-13.2679,0.6896,547.421358,-0.005088,14.344503,-4.1344,0.7783,545.565002,-0.00364,4.314462,20.247,155.71
26,51.1768913269043,5.452072437987189,-11.8774,0.2107,750.616027,-0.018114,14.407621,-11.2963,0.3712,1588.349119,-0.003532,15.593985,-7.0654,0.5001,1239.948213,-0.003357,4.583609,-6.2709,0.6235,562.031981,-0.004855,4.252131,-6.154,0.8033,0.0,-0.007519,3.556602,14.8618,125.02
27,174.4341583251953,5.452072437987189,-22.0747,0.1682,1662.023416,-0.015044,83.426582,-9.5506,0.3662,1505.307359,-0.00167,9.961876,-5.4241,0.5005,1211.937437,-0.004123,3.341165,-6.8396,0.6589,1185.865705,-8.7e-05,6.248486,-31.3892,0.8071,126.829038,-0.001052,239.578686,14.5893,145.89
28,50.3316650390625,5.452072437987189,-8.9753,0.2381,1416.965109,0.001593,8.215789,-7.0345,0.3413,1715.342778,-0.001035,5.475974,-13.8138,0.5042,746.000364,0.001614,22.076196,-3.6836,0.6612,659.64981,-0.000591,2.965677,-18.7167,0.8103,0.0,-0.007476,79.458824,10.274,106.78
29,189.86569213867188,5.452072437987189,-9.3037,0.1975,1598.179612,-0.000404,9.149237,-7.8269,0.3226,1666.381375,-0.001002,5.896461,-7.3404,0.49,1595.323094,-0.001306,2.803376,-47.492,0.6921,50.481232,-5.8e-05,482.367622,-10.2932,0.7708,0.0,-0.001762,14.153488,10.0982,167.1
30,176.71035766601562,5.452072437987189,-10.5953,0.1879,2171.192035,-0.002131,13.29776,-10.3006,0.3318,1548.298249,-0.001773,11.614191,-14.016,0.4711,492.561085,-0.007032,27.587668,-3.7168,0.6655,1071.34974,-0.000872,4.03709,-20.0712,0.7626,0.0,0.00353,90.93338,17.1746,108.86
31,47.08812713623047,5.452072437987189,-16.195,0.2012,1829.085876,-0.00575,22.582379,-11.8068,0.3346,1121.799047,-0.001443,12.279765,-7.3048,0.5003,776.48438,-0.008549,5.365767,-20.2289,0.6677,0.0,-0.001132,88.904263,-2.6736,0.7884,240.678086,-5.7e-05,3.909371,13.1083,145.65
32,43.05249786376953,5.452072437987189,-10.8812,0.2263,1508.046283,-0.01464,9.966593,-23.7045,0.3573,330.738829,-0.001884,117.225821,-6.1062,0.4974,1170.079085,-0.007831,3.478687,-3.6318,0.6579,1018.190252,-0.002915,2.947994,-4.9946,0.8137,3.822247,-0.001158,5.173216,5.174,109.43
33,159.553955078125,5.452072437987189,-16.7239,0.15,2112.620298,-0.003321,37.239168,-28.8252,0.3659,482.500928,-0.00245,87.588078,-8.6334,0.4924,751.621959,0.000285,4.328622,-8.8278,0.6471,571.99707,0.000511,3.298348,-4.7638,0.7924,185.0,-0.001269,4.710879,14.8061,152.43
34,128.38670349121094,5.452072437987189,-12.0452,0.2162,1385.113397,-0.012004,11.200983,-8.7245,0.3743,1113.536541,-0.000851,7.253933,-42.8125,0.4578,467.001544,0.000138,453.155159,-7.0237,0.6736,833.106081,-0.011539,4.990178,-9.9604,0.7965,315.667697,-0.000893,16.487973,24.1173,168.4
35,62.27181625366211,5.452072437987189,-9.1271,0.2243,2140.981634,-0.006368,6.155714,-9.3124,0.3104,1424.176617,-0.002776,6.080302,-11.661,0.4872,629.314799,-0.005563,6.866269,-9.7789,0.6599,531.354501,-0.009666,15.572174,-5.4632,0.7796,185.0,-0.006083,3.495747,8.9136,57.91
36,140.37155151367188,5.452072437987189,-12.8173,0.2603,2773.085487,-0.019072,7.802259,-14.264,0.3209,963.338666,-0.000516,13.072769,-12.3445,0.5053,1114.350697,-0.00583,19.01535,-9.0756,0.6577,158.223185,-0.00245,4.877095,-5.6471,0.7981,92.5,-0.002657,2.930424,17.1701,107.3
37,180.92608642578125,5.452072437987189,-11.9361,0.2207,2238.629608,-0.017309,7.910853,-26.9197,0.3128,27.115095,-0.002197,68.254374,-6.7214,0.4909,1651.278767,-0.002172,2.581831,-9.76,0.6392,783.908345,-0.004398,10.28581,-7.1832,0.7722,185.0,-0.000359,5.560508,13.5138,119.4
38,54.367401123046875,5.452072437987189,-9.6426,0.1821,1801.48812,0.006718,9.828996,-10.0717,0.3573,2052.063637,-0.002786,11.408079,-14.8858,0.4806,852.55828,0.000699,42.055531,-6.8047,0.6604,296.0,-0.007752,6.700778,-11.7693,0.8076,92.5,-0.001342,24.177133,15.6854,119.11
39,84.96638488769531,5.452072437987189,-14.3405,0.2597,1942.278605,-0.024157,8.996826,-15.0937,0.3302,1180.609405,-0.002719,21.705191,-6.7869,0.4644,845.308588,-0.008707,3.618486,-11.458,0.6313,861.561818,-0.021906,24.434794,-9.3738,0.8017,11.49668,0.000213,12.330658,16.9673,112.58
40,45.985198974609375,5.452072437987189,-20.9189,0.1936,2379.69124,0.009771,54.584396,-8.8,0.3762,1239.644382,-0.003693,6.086711,-5.3488,0.4997,1030.948089,-0.003791,2.584474,-8.2866,0.6782,1084.164388,-0.003166,6.437942,-6.257,0.7815,0.0,-0.004245,1.384361,14.055,123.18
41,75.06280517578125,5.452072437987189,-10.7195,0.2306,2347.484596,-0.000871,6.256922,-12.1925,0.3103,217.163087,-0.002902,10.291154,-5.4274,0.5136,1618.97127,-0.002387,1.50887,-8.5146,0.6614,0.0,-0.005827,3.219092,-3.7345,0.8024,390.486346,-0.002511,2.120462,8.1565,82.09
42,183.80259704589844,5.452072437987189,-12.519,0.184,1565.141255,-0.018238,9.071143,-17.9678,0.3606,1086.685431,-0.007609,51.555272,-5.0776,0.5554,1569.426167,-0.002291,3.245563,-15.3713,0.6226,418.744692,0.001845,34.944057,-8.4324,0.8155,0.0,-0.001959,7.371157,14.2051,129.43
43,184.3101043701172,5.452072437987189,-9.7289,0.2323,2193.065859,-0.032723,5.252982,-40.1468,0.386,1019.633584,0.001018,287.053932,-6.2966,0.5055,369.479744,-0.001333,2.705981,-8.9225,0.6635,763.742702,-0.005595,3.238742,-9.4209,0.8195,0.0,-4.7e-05,4.476139,23.8918,128.69
44,41.39411926269531,5.452072437987189,-9.6131,0.2035,2416.550481,-0.038386,6.939949,-10.1066,0.3583,1145.782397,-0.004198,10.038408,-6.6403,0.4784,1172.002725,-0.007289,2.248,-7.3946,0.6386,430.665668,-0.000971,4.903452,-9.9068,0.8358,92.5,-0.008043,13.488041,13.8707,101.54
45,107.20130157470703,5.452072437987189,-8.9402,0.1968,1931.364082,-0.004582,4.533364,-10.6736,0.3178,811.917003,-0.002873,4.651891,-5.3866,0.5193,426.105198,0.002408,1.461986,-3.7825,0.67,782.840846,-0.003988,2.294794,-2.3678,0.8069,21.596711,-0.000683,2.391634,13.3533,78.65
46,70.81969451904297,5.452072437987189,-9.092,0.2596,2549.838233,-0.000586,3.317461,-11.2805,0.3478,963.827432,-0.004987,8.448046,-5.9372,0.4906,1472.55204,-0.014311,1.133191,-12.1759,0.6781,205.138186,-0.008676,5.780297,-15.4035,0.7957,0.0,-0.000492,11.702295,5.235,95.17
47,191.0770721435547,5.452072437987189,-9.6323,0.1782,2786.786364,-0.010155,7.310302,-7.6723,0.3565,1698.75034,-0.007778,7.243161,-36.0426,0.4825,20.158211,-0.000628,407.642036,-14.809,0.6345,596.87982,0.009026,39.793341,-20.4645,0.7977,227.478631,0.000252,118.952188,19.5886,143.37
48,93.94904327392578,5.452072437987189,-18.325,0.1605,1932.122817,0.008297,43.022655,-12.5114,0.3507,1118.683081,-0.002533,9.216389,-11.8146,0.5273,857.704331,0.003708,17.866803,-10.6641,0.639,159.278085,-0.002149,4.513584,-8.9463,0.7892,207.569028,-0.001742,4.883974,25.1139,145.89
49,76.72886657714844,5.452072437987189,-9.2796,0.2219,2777.200521,-0.006575,5.573337,-12.7299,0.3276,1001.482464,-0.000233,20.319139,-6.5245,0.5008,678.308198,-0.002423,3.227705,-3.5086,0.6745,310.320937,-0.006179,2.6744,-5.802,0.8221,12.925898,-0.011945,1.854914,8.0943,81.81
50,123.99878692626953,5.452072437987189,-10.1827,0.1676,2498.813886,-0.020316,5.334164,-15.413,0.3484,400.063708,-0.001107,27.0422,-8.9113,0.5018,1053.966476,-0.000676,6.853965,-4.5211,0.6758,328.78892,-0.003527,1.846438,-18.1212,0.7991,177.771243,-0.004562,76.86661,14.8769,115.09
51,90.99835968017578,5.452072437987189,-9.9847,0.2353,2809.050448,-0.014202,5.073161,-17.6083,0.3763,876.456619,0.000241,41.745502,-13.6354,0.502,338.521933,0.000374,17.571821,-7.3674,0.6791,707.169421,-0.002245,3.611251,-8.6289,0.8142,0.0,-0.005467,3.630722,8.2819,129.84
52,197.03436279296875,5.452072437987189,-10.1102,0.2144,2524.660859,-0.00802,5.813521,-26.2773,0.3245,814.547812,-0.002196,117.114725,-13.7378,0.5054,983.669877,-0.001937,19.248084,-3.9933,0.6249,984.175798,-0.001695,2.111997,-5.6736,0.764,0.0,-0.001515,2.286298,8.4855,151.5
53,106.30731964111328,5.452072437987189,-22.7471,0.2299,1424.827788,0.003557,44.494223,-8.9745,0.3434,1562.694395,-0.000198,5.86972,-6.3603,0.4926,1434.225229,-0.008598,3.806211,-14.4567,0.6183,594.906596,-0.007279,19.661358,-3.8981,0.7875,316.47929,-0.000609,5.558869,9.1124,209.92
54,109.08612823486328,5.452072437987189,-8.8379,0.1978,2388.782901,-0.006583,2.611776,-13.9463,0.3699,902.331304,-0.002678,17.651359,-7.6433,0.5259,1477.542211,-0.002509,1.560167,-3.8397,0.6579,426.754723,-0.010803,0.954605,-5.5397,0.7994,0.0,-0.023172,0.993902,10.5305,74.73
55,48.954444885253906,5.452072437987189,-9.4859,0.2023,2609.835633,-0.006166,2.811193,-14.5855,0.3503,366.916518,-0.000319,19.92605,-5.7009,0.5189,1354.203283,-0.002893,2.431432,-5.8642,0.6338,84.43744,-0.016955,0.768625,-5.1623,0.782,21.843128,-0.014089,1.075932,8.6375,97.9
56,158.50027465820312,5.452072437987189,-10.1922,0.2056,2639.83075,-0.016852,4.179762,-13.7744,0.3889,959.630496,-0.00199,5.506621,-22.2474,0.5102,105.887269,0.003161,67.408875,-6.3906,0.6225,1078.176903,-0.006521,2.241032,-30.5638,0.8,185.0,-0.002259,170.320015,15.5017,158.57
57,41.00530242919922,5.452072437987189,-9.6144,0.201,2077.293703,-0.015511,2.908181,-8.9919,0.3373,1765.579586,-0.002024,6.1448,-8.0017,0.4751,910.854506,-0.001458,3.394043,-6.0604,0.7017,551.794998,-0.023145,0.789274,-4.5878,0.7983,73.180418,-0.000244,0.99161,8.7367,80.24
58,111.78534698486328,5.452072437987189,-10.1636,0.1886,2514.628457,-0.018592,2.725958,-12.342,0.3029,1570.809555,-0.008628,9.266208,-20.0765,0.4703,0.0,-0.005185,31.902323,-5.3617,0.714,758.661642,-0.01823,0.349828,-11.8543,0.7654,77.610688,-0.005666,14.568215,11.1435,158.03
59,78.87922668457031,5.452072437987189,-12.3402,0.1861,1893.210174,0.012446,6.067245,-9.904,0.3357,1148.443758,-0.00266,9.43321,-11.0161,0.4796,138.343469,-0.005481,10.906914,-3.9178,0.6338,975.120558,-0.024864,0.367364,-6.1862,0.8163,192.2342,-0.031437,0.905739,5.1133,123.33
60,100.15665435791016,5.452072437987189,-9.5296,0.2286,2839.857365,-0.016092,2.413409,-14.3574,0.3249,846.856913,-0.002607,9.477323,-5.7613,0.4827,1195.420613,-0.000633,3.356042,-7.3891,0.6501,639.636118,-0.008361,3.165638,-12.8945,0.8075,92.5,0.005172,13.172215,14.4209,112.48
61,101.02216339111328,5.452072437987189,-24.0613,0.1803,2502.201043,0.000194,69.033844,-13.0787,0.3123,1275.820586,-0.005081,12.232426,-8.788,0.5082,330.377585,-0.002699,4.282254,-5.4769,0.6064,937.66058,-0.018476,0.770598,-4.1411,0.7928,106.426597,-0.00023,0.972694,14.6732,135.8
62,121.28608703613281,5.452072437987189,-9.8953,0.1856,3079.727994,-0.016514,3.03125,-11.2162,0.3336,197.44721,-0.013739,11.501739,-7.5963,0.505,208.464657,-0.004591,3.864953,-5.8976,0.6448,1083.189582,-0.025368,1.470982,-4.4519,0.7811,71.475558,-0.011057,0.988553,8.1157,109.3
63,45.01475524902344,5.452072437987189,-9.1933,0.1922,2158.654389,-0.00193,1.314265,-8.7624,0.3307,1724.600788,-0.011091,3.98694,-4.3565,0.5436,442.845688,0.002005,4.226134,-4.7164,0.6881,715.126901,-0.002598,1.003537,-1.8325,0.8102,158.513063,-0.003211,4.412652,12.4615,81.11
64,86.34862518310547,5.452072437987189,-10.1687,0.2065,2619.949568,-0.021463,1.565491,-13.0498,0.3638,297.758055,0.001947,9.204421,-7.1781,0.4897,1628.953292,-0.006912,0.493241,-4.8328,0.677,523.302201,-0.014659,0.515044,-7.9916,0.8209,92.5,-0.006622,2.233364,7.3761,111.89
65,57.067359924316406,5.452072437987189,-9.8158,0.2026,2668.050806,-0.00472,2.204416,-14.6829,0.3845,791.435218,0.001113,24.595905,-8.9269,0.4908,611.495059,-0.010873,4.565442,-5.3303,0.6543,817.32087,-0.04178,0.527675,-5.9544,0.795,92.5,-0.006802,0.407689,9.1706,113.43
66,114.7017822265625,5.452072437987189,-10.9118,0.2396,2186.160851,-0.022396,2.151307,-11.7287,0.3286,1144.952825,-0.001036,6.48699,-7.7277,0.504,987.066767,0.002236,2.018332,-13.7709,0.6338,272.320798,0.006582,29.955614,-3.6638,0.7924,140.632232,-0.007001,1.001216,17.161,122.95
